EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_EER,WORST_EER
0,0.7717061042785645,0.7583601474761963,0.26691973209381104,0.46936649659863944,0.5069812925170069,0.5542857142857143
5,1.7095959186553955,1.5753940343856812,2.68403697013855,0.5768707482993197,0.40292517006802725,0.44333333333333336
10,1.054314136505127,0.9762546420097351,1.5611907243728638,0.5700850340136054,0.4073299319727891,0.4525
15,0.7852180004119873,0.7386234998703003,0.9318905472755432,0.6304039115646258,0.32585884353741496,0.41333333333333333
20,0.6352367401123047,0.603088915348053,0.6429563760757446,0.6633801020408163,0.29323979591836735,0.38
25,0.6315963268280029,0.5920321345329285,0.7912833094596863,0.6707057823129252,0.2985884353741497,0.36
30,0.5614678263664246,0.526548445224762,0.6983877420425415,0.6716836734693877,0.28663265306122454,0.37
35,0.5012046098709106,0.4721362590789795,0.5813665986061096,0.6962712585034014,0.26245748299319727,0.345
40,0.4771376848220825,0.4471144378185272,0.6004652380943298,0.7171811224489796,0.25563775510204084,0.31000000000000005
45,0.45899221301078796,0.4321463108062744,0.5369178652763367,0.721156462585034,0.24435374149659866,0.31333333333333335
50,0.4378396272659302,0.41120362281799316,0.5327202081680298,0.7364285714285714,0.23714285714285713,0.29000000000000004
55,0.42416706681251526,0.3981974124908447,0.5193929672241211,0.7324107142857142,0.23517857142857146,0.30000000000000004
60,0.41519349813461304,0.38952890038490295,0.5132922530174255,0.7393835034013605,0.22789965986394556,0.29333333333333333
65,0.4063045084476471,0.379914253950119,0.5278049111366272,0.7441836734693877,0.22163265306122445,0.29000000000000004
70,0.3977327346801758,0.3720051348209381,0.514552116394043,0.7409863945578232,0.22136054421768706,0.29666666666666663
75,0.39015334844589233,0.36433878540992737,0.5162913799285889,0.7447576530612245,0.220484693877551,0.29000000000000004
80,0.38350534439086914,0.3577001988887787,0.5161029696464539,0.74203231292517,0.21926870748299318,0.29666666666666663
85,0.37742823362350464,0.35144421458244324,0.5196802616119385,0.7452040816326531,0.21959183673469385,0.29000000000000004
90,0.3717469871044159,0.3453444540500641,0.5280506014823914,0.7451147959183673,0.2197704081632653,0.29000000000000004
