epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.4637734923533529,0.09434144797016816,0.1313820680597575,0.11934386653064095,312.6397652383894
1,0.3623978922808031,0.07684572808930794,0.12299186191045756,0.10799436841858394,592.2386431796476
2,0.33208450093342545,0.0821137925373484,0.14217910832805647,0.12265788069607635,850.372778095305
3,0.29740984112634294,0.06569103402987878,0.11219482164215858,0.09708109066816764,1103.041242509149
4,0.27933219236414336,0.061495930955228754,0.12682931119397733,0.10559596261638404,1286.1936921058223
5,0.26827343043528107,0.05346337859705902,0.10621144961185769,0.08906832653204813,1481.2989687183872
6,0.24543119230639865,0.05587021271605805,0.10130103895494733,0.0865360204273083,1680.1671280413866
7,0.24006573276387322,0.06497572644761837,0.12406482328384814,0.10486086681207346,1901.646785929799
8,0.2130446116717761,0.05765848167170898,0.1118371678510284,0.09422909484274959,2154.8580220611766
9,0.21379309797888263,0.061853584746358985,0.12689673772837076,0.10575771300921694,2370.8069703401998
10,0.19672161794937493,0.0573008278805788,0.11076420647763782,0.09338860843359365,2610.5990142356604
11,0.18954385151509304,0.061495930955228754,0.11004889889537747,0.09426918431482914,2882.1450941367075
