DATASET,FILE_WEIGHT,MUSIC_WEIGHT,SONICS_FILE_EER,SONICS_MUSIC_EER,FILE_EER,VOICE_EER,MUSIC_EER,ADS
factorial_eval_1200_v2_holdout,0.0,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.0025,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.005,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.01,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.02,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.025,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0,0.05,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.27428571428571424,0.7470389610389611
factorial_eval_1200_v2_holdout,0.0,0.1,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.27428571428571424,0.7470389610389611
factorial_eval_1200_v2_holdout,0.0025,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.0025,0.0025,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.005,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.005,0.005,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.01,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.01,0.01,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.02,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.02,0.02,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.025,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.025,0.025,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.05,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.05,0.05,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.27428571428571424,0.7470389610389611
factorial_eval_1200_v2_holdout,0.1,0.0,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.28,0.7453246753246753
factorial_eval_1200_v2_holdout,0.1,0.1,0.4076363636363636,0.4114285714285715,0.24763636363636365,0.23428571428571432,0.27428571428571424,0.7470389610389611
phone_factorial_1200_v1,0.0,0.0,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.0025,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.005,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.01,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.02,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.025,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.05,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0,0.1,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0025,0.0,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.0025,0.0025,0.4024285714285714,0.31999999999999995,0.2582857142857143,0.15500000000000003,0.36,0.731857142857143
phone_factorial_1200_v1,0.005,0.0,0.4024285714285714,0.31999999999999995,0.25757142857142856,0.15500000000000003,0.36,0.7322142857142857
phone_factorial_1200_v1,0.005,0.005,0.4024285714285714,0.31999999999999995,0.25757142857142856,0.15500000000000003,0.36,0.7322142857142857
phone_factorial_1200_v1,0.01,0.0,0.4024285714285714,0.31999999999999995,0.25757142857142856,0.15500000000000003,0.36,0.7322142857142857
phone_factorial_1200_v1,0.01,0.01,0.4024285714285714,0.31999999999999995,0.25757142857142856,0.15500000000000003,0.36,0.7322142857142857
phone_factorial_1200_v1,0.02,0.0,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.02,0.02,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.025,0.0,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.025,0.025,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.05,0.0,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.05,0.05,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.1,0.0,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
phone_factorial_1200_v1,0.1,0.1,0.4024285714285714,0.31999999999999995,0.25585714285714284,0.15500000000000003,0.36,0.7330714285714286
yue_cross_component_audit_v1,0.0,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.0025,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.005,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.01,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.02,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.025,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.05,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0,0.1,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.19354838709677422,0.8311655563347359
yue_cross_component_audit_v1,0.0025,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.0025,0.0025,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.005,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.005,0.005,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.01,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.01,0.01,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.02,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.02,0.02,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.025,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.025,0.025,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.05,0.0,0.5264945652173914,0.5483870967741935,0.1861413043478261,0.10208333333333333,0.17741935483870966,0.8332868747078073
yue_cross_component_audit_v1,0.05,0.05,0.5264945652173914,0.5483870967741935,0.1861413043478261,0.10208333333333333,0.17741935483870966,0.8332868747078073
yue_cross_component_audit_v1,0.1,0.0,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,0.1,0.1,0.5264945652173914,0.5483870967741935,0.18070652173913043,0.10208333333333333,0.19354838709677422,0.8311655563347359
