DATASET,METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA_VS_V38
factorial,v38,400,400,350,350,0.26472727272727276,0.22285714285714286,0.18285714285714283,0.9928,0.9989142857142856,0.7682077922077922,0.9958571428571428,0.7909727272727273,0.0
factorial,wpt_residual,400,400,350,350,0.24181818181818182,0.21714285714285717,0.18285714285714283,0.9928,0.9989142857142856,0.7808051948051948,0.9958571428571428,0.8023103896103897,0.012597402597402607
phone,v38,1200,1200,800,800,0.14757142857142858,0.16749999999999998,0.07499999999999998,0.956603125,0.9840593750000001,0.8702142857142858,0.9703312500000001,0.8802259821428573,0.0
phone,wpt_residual,1200,1200,800,800,0.14757142857142858,0.16000000000000003,0.07499999999999998,0.956603125,0.9840593750000001,0.8717142857142857,0.9703312500000001,0.8815759821428572,0.0014999999999998348
yue,v38,124,124,108,124,0.14877717391304346,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8664850689574568,,,0.0
yue,wpt_residual,124,124,108,124,0.12771739130434784,0.08333333333333334,0.12903225806451613,0.9837962962962963,,0.8807649602618046,,,0.014279891304347814
