TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_phone_factorial_1200_v1:truth
FILE,logit,0.4,0.7341428571428572,-0.04242857142857143,0.26585714285714285
VOICE,logit,0.2,0.855,-0.03749999999999998,0.14500000000000002
MUSIC,logit,0.5,0.685,-0.08500000000000008,0.31499999999999995
