expert_weight,eer
0.0,0.30625
0.01,0.30625
0.02,0.30625
0.03,0.30625
0.04,0.30625
0.05,0.30000000000000004
0.06,0.30000000000000004
0.07,0.30000000000000004
0.08,0.30000000000000004
0.09,0.30000000000000004
0.1,0.30000000000000004
0.11,0.30000000000000004
0.12,0.30000000000000004
0.13,0.29374999999999996
0.14,0.29374999999999996
0.15,0.29374999999999996
0.16,0.29374999999999996
0.17,0.29374999999999996
0.18,0.29374999999999996
0.19,0.29374999999999996
0.2,0.29374999999999996
0.21,0.29374999999999996
0.22,0.29374999999999996
0.23,0.29374999999999996
0.24,0.30000000000000004
0.25,0.30625
0.26,0.30625
0.27,0.30625
0.28,0.30625
0.29,0.30625
0.3,0.30000000000000004
0.31,0.30000000000000004
0.32,0.30000000000000004
0.33,0.30000000000000004
0.34,0.30000000000000004
0.35000000000000003,0.30000000000000004
0.36,0.30000000000000004
0.37,0.30000000000000004
0.38,0.29374999999999996
0.39,0.29374999999999996
0.4,0.29374999999999996
0.41000000000000003,0.30000000000000004
0.42,0.30000000000000004
0.43,0.30625
0.44,0.30625
0.45,0.30625
0.46,0.30625
0.47000000000000003,0.30625
0.48,0.30625
0.49,0.30625
0.5,0.30625
0.51,0.3125
0.52,0.31875
0.53,0.3125
0.54,0.3125
0.55,0.3125
0.56,0.3125
0.5700000000000001,0.3125
0.58,0.3125
0.59,0.3125
0.6,0.3125
0.61,0.31875
0.62,0.31875
0.63,0.31875
0.64,0.32499999999999996
0.65,0.32499999999999996
0.66,0.33125000000000004
0.67,0.33125000000000004
0.68,0.3125
0.6900000000000001,0.30625
0.7000000000000001,0.30625
0.71,0.30625
0.72,0.30625
0.73,0.30625
0.74,0.3125
0.75,0.3125
0.76,0.30625
0.77,0.31875
0.78,0.3125
0.79,0.3125
0.8,0.3125
0.81,0.3125
0.8200000000000001,0.3125
0.8300000000000001,0.3125
0.84,0.31875
0.85,0.31875
0.86,0.31875
0.87,0.32499999999999996
0.88,0.31875
0.89,0.31875
0.9,0.31875
0.91,0.32499999999999996
0.92,0.32499999999999996
0.93,0.32499999999999996
0.9400000000000001,0.32499999999999996
0.9500000000000001,0.32499999999999996
0.96,0.32499999999999996
0.97,0.33125000000000004
0.98,0.33125000000000004
0.99,0.3375
1.0,0.346875
