DATASET,N,MUSIC_EER
factorial_eval_1200_v2,1200,0.2438095238095238
phone_factorial_1200_v1,1200,0.21999999999999997
yue_cross_component_audit_v1,124,0.14516129032258063
suno_vocals_v1,13,
