BANK,MODEL,AXIS,GROUP,N,FILE_EER,VOICE_EER
uniform,candidate,DURATION|RECORDING|CHANNEL,30|direct|g711_ulaw,40,0.25,0.30000000000000004
uniform,candidate,DURATION|RECORDING|CHANNEL,30|direct|opus_nb_8k,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,30|replay|clean,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,30|replay|g711_ulaw,40,0.35,0.35
uniform,candidate,DURATION|RECORDING|CHANNEL,30|replay|opus_nb_8k,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,45|direct|clean,40,0.30000000000000004,0.35
uniform,candidate,DURATION|RECORDING|CHANNEL,45|direct|g711_ulaw,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,45|direct|opus_nb_8k,40,0.5,0.5
uniform,candidate,DURATION|RECORDING|CHANNEL,45|replay|clean,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,45|replay|g711_ulaw,40,0.35,0.35
uniform,candidate,DURATION|RECORDING|CHANNEL,45|replay|opus_nb_8k,40,0.5,0.5
uniform,candidate,DURATION|RECORDING|CHANNEL,60|direct|clean,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,60|direct|g711_ulaw,40,0.44999999999999996,0.44999999999999996
uniform,candidate,DURATION|RECORDING|CHANNEL,60|direct|opus_nb_8k,40,0.44999999999999996,0.44999999999999996
uniform,candidate,DURATION|RECORDING|CHANNEL,60|replay|clean,40,0.44999999999999996,0.44999999999999996
uniform,candidate,DURATION|RECORDING|CHANNEL,60|replay|g711_ulaw,40,0.4,0.4
uniform,candidate,DURATION|RECORDING|CHANNEL,60|replay|opus_nb_8k,40,0.44999999999999996,0.44999999999999996
fixed,anchor,ALL,ALL,2160,0.312037037037037,0.3935185185185185
fixed,anchor,DURATION,30,720,0.3194444444444444,0.4027777777777778
fixed,anchor,DURATION,45,720,0.3138888888888889,0.38611111111111107
fixed,anchor,DURATION,60,720,0.30000000000000004,0.3944444444444445
fixed,anchor,CHANNEL,clean,720,0.19166666666666665,0.2833333333333333
fixed,anchor,CHANNEL,g711_ulaw,720,0.23055555555555554,0.35277777777777775
fixed,anchor,CHANNEL,opus_nb_8k,720,0.3388888888888889,0.46111111111111114
fixed,anchor,RECORDING,direct,1080,0.24629629629629632,0.3759259259259259
fixed,anchor,RECORDING,replay,1080,0.3648148148148148,0.42407407407407405
fixed,anchor,POSITION,early,720,0.3055555555555556,0.38888888888888884
fixed,anchor,POSITION,late,720,0.30833333333333335,0.3944444444444445
fixed,anchor,POSITION,middle,720,0.30833333333333335,0.4
fixed,anchor,DURATION|CHANNEL,30|clean,240,0.19166666666666665,0.31666666666666665
fixed,anchor,DURATION|CHANNEL,30|g711_ulaw,240,0.22499999999999998,0.35
fixed,anchor,DURATION|CHANNEL,30|opus_nb_8k,240,0.31666666666666665,0.45833333333333337
fixed,anchor,DURATION|CHANNEL,45|clean,240,0.19999999999999998,0.29166666666666663
fixed,anchor,DURATION|CHANNEL,45|g711_ulaw,240,0.21666666666666667,0.33333333333333337
fixed,anchor,DURATION|CHANNEL,45|opus_nb_8k,240,0.33333333333333337,0.4916666666666667
fixed,anchor,DURATION|CHANNEL,60|clean,240,0.20833333333333337,0.275
fixed,anchor,DURATION|CHANNEL,60|g711_ulaw,240,0.25,0.375
fixed,anchor,DURATION|CHANNEL,60|opus_nb_8k,240,0.35,0.4666666666666667
fixed,anchor,DURATION|RECORDING|CHANNEL,30|direct|clean,120,0.09999999999999999,0.2333333333333333
fixed,anchor,DURATION|RECORDING|CHANNEL,30|direct|g711_ulaw,120,0.16666666666666663,0.30000000000000004
fixed,anchor,DURATION|RECORDING|CHANNEL,30|direct|opus_nb_8k,120,0.2666666666666667,0.43333333333333335
fixed,anchor,DURATION|RECORDING|CHANNEL,30|replay|clean,120,0.25,0.3666666666666667
fixed,anchor,DURATION|RECORDING|CHANNEL,30|replay|g711_ulaw,120,0.30000000000000004,0.41666666666666663
fixed,anchor,DURATION|RECORDING|CHANNEL,30|replay|opus_nb_8k,120,0.4,0.4833333333333333
fixed,anchor,DURATION|RECORDING|CHANNEL,45|direct|clean,120,0.1333333333333333,0.2333333333333333
fixed,anchor,DURATION|RECORDING|CHANNEL,45|direct|g711_ulaw,120,0.15000000000000002,0.2666666666666667
fixed,anchor,DURATION|RECORDING|CHANNEL,45|direct|opus_nb_8k,120,0.2833333333333333,0.4666666666666667
fixed,anchor,DURATION|RECORDING|CHANNEL,45|replay|clean,120,0.25,0.3666666666666667
