BANK,AXIS,GROUP,N,FILE_EER_anchor,VOICE_EER_anchor,FILE_EER_candidate,VOICE_EER_candidate,FILE_EER_delta,VOICE_EER_delta
uniform,ALL,ALL,720,0.41388888888888886,0.42500000000000004,0.37777777777777777,0.38888888888888884,-0.036111111111111094,-0.036111111111111205
uniform,DURATION,30,240,0.3916666666666667,0.41666666666666663,0.3416666666666667,0.35,-0.050000000000000044,-0.06666666666666665
uniform,DURATION,45,240,0.41666666666666663,0.43333333333333335,0.3666666666666667,0.3833333333333333,-0.04999999999999993,-0.050000000000000044
uniform,DURATION,60,240,0.41666666666666663,0.41666666666666663,0.42500000000000004,0.43333333333333335,0.008333333333333415,0.01666666666666672
uniform,CHANNEL,clean,240,0.375,0.3666666666666667,0.35,0.375,-0.025000000000000022,0.008333333333333304
uniform,CHANNEL,g711_ulaw,240,0.375,0.3916666666666667,0.3666666666666667,0.3666666666666667,-0.008333333333333304,-0.025000000000000022
uniform,CHANNEL,opus_nb_8k,240,0.44999999999999996,0.4916666666666667,0.44166666666666665,0.44166666666666665,-0.008333333333333304,-0.050000000000000044
uniform,RECORDING,direct,360,0.40555555555555556,0.3944444444444445,0.35,0.3555555555555555,-0.05555555555555558,-0.03888888888888897
uniform,RECORDING,replay,360,0.41666666666666663,0.44999999999999996,0.40555555555555556,0.40555555555555556,-0.011111111111111072,-0.0444444444444444
uniform,POSITION,uniform,720,0.41388888888888886,0.42500000000000004,0.37777777777777777,0.38888888888888884,-0.036111111111111094,-0.036111111111111205
uniform,DURATION|CHANNEL,30|clean,80,0.35,0.32499999999999996,0.375,0.4,0.025000000000000022,0.07500000000000007
uniform,DURATION|CHANNEL,30|g711_ulaw,80,0.32499999999999996,0.4,0.30000000000000004,0.32499999999999996,-0.02499999999999991,-0.07500000000000007
uniform,DURATION|CHANNEL,30|opus_nb_8k,80,0.475,0.475,0.375,0.375,-0.09999999999999998,-0.09999999999999998
uniform,DURATION|CHANNEL,45|clean,80,0.4,0.4,0.32499999999999996,0.35,-0.07500000000000007,-0.050000000000000044
uniform,DURATION|CHANNEL,45|g711_ulaw,80,0.375,0.4,0.35,0.35,-0.025000000000000022,-0.050000000000000044
uniform,DURATION|CHANNEL,45|opus_nb_8k,80,0.44999999999999996,0.475,0.44999999999999996,0.44999999999999996,0.0,-0.025000000000000022
uniform,DURATION|CHANNEL,60|clean,80,0.375,0.35,0.375,0.4,0.0,0.050000000000000044
uniform,DURATION|CHANNEL,60|g711_ulaw,80,0.42500000000000004,0.42500000000000004,0.4,0.4,-0.025000000000000022,-0.025000000000000022
uniform,DURATION|CHANNEL,60|opus_nb_8k,80,0.5,0.475,0.44999999999999996,0.44999999999999996,-0.050000000000000044,-0.025000000000000022
uniform,DURATION|RECORDING|CHANNEL,30|direct|clean,40,0.19999999999999998,0.30000000000000004,0.35,0.4,0.15,0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,30|direct|g711_ulaw,40,0.25,0.4,0.25,0.30000000000000004,0.0,-0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,30|direct|opus_nb_8k,40,0.44999999999999996,0.5,0.4,0.4,-0.04999999999999993,-0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,30|replay|clean,40,0.4,0.4,0.4,0.4,0.0,0.0
uniform,DURATION|RECORDING|CHANNEL,30|replay|g711_ulaw,40,0.44999999999999996,0.44999999999999996,0.35,0.35,-0.09999999999999998,-0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,30|replay|opus_nb_8k,40,0.44999999999999996,0.44999999999999996,0.4,0.4,-0.04999999999999993,-0.04999999999999993
uniform,DURATION|RECORDING|CHANNEL,45|direct|clean,40,0.35,0.25,0.30000000000000004,0.35,-0.04999999999999993,0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,45|direct|g711_ulaw,40,0.30000000000000004,0.35,0.4,0.4,0.09999999999999998,0.050000000000000044
uniform,DURATION|RECORDING|CHANNEL,45|direct|opus_nb_8k,40,0.4,0.44999999999999996,0.5,0.5,0.09999999999999998,0.050000000000000044
uniform,DURATION|RECORDING|CHANNEL,45|replay|clean,40,0.4,0.44999999999999996,0.4,0.4,0.0,-0.04999999999999993
uniform,DURATION|RECORDING|CHANNEL,45|replay|g711_ulaw,40,0.44999999999999996,0.44999999999999996,0.35,0.35,-0.09999999999999998,-0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,45|replay|opus_nb_8k,40,0.44999999999999996,0.55,0.5,0.5,0.050000000000000044,-0.050000000000000044
uniform,DURATION|RECORDING|CHANNEL,60|direct|clean,40,0.25,0.25,0.4,0.4,0.15000000000000002,0.15000000000000002
uniform,DURATION|RECORDING|CHANNEL,60|direct|g711_ulaw,40,0.4,0.35,0.44999999999999996,0.44999999999999996,0.04999999999999993,0.09999999999999998
uniform,DURATION|RECORDING|CHANNEL,60|direct|opus_nb_8k,40,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.0,0.0
uniform,DURATION|RECORDING|CHANNEL,60|replay|clean,40,0.5,0.44999999999999996,0.44999999999999996,0.44999999999999996,-0.050000000000000044,0.0
uniform,DURATION|RECORDING|CHANNEL,60|replay|g711_ulaw,40,0.44999999999999996,0.44999999999999996,0.4,0.4,-0.04999999999999993,-0.04999999999999993
uniform,DURATION|RECORDING|CHANNEL,60|replay|opus_nb_8k,40,0.5,0.5,0.44999999999999996,0.44999999999999996,-0.050000000000000044,-0.050000000000000044
fixed,ALL,ALL,2160,0.312037037037037,0.3935185185185185,0.39537037037037037,0.4037037037037037,0.08333333333333337,0.010185185185185186
fixed,DURATION,30,720,0.3194444444444444,0.4027777777777778,0.37222222222222223,0.38055555555555554,0.05277777777777781,-0.022222222222222254
fixed,DURATION,45,720,0.3138888888888889,0.38611111111111107,0.3944444444444445,0.4027777777777778,0.0805555555555556,0.01666666666666672
fixed,DURATION,60,720,0.30000000000000004,0.3944444444444445,0.41666666666666663,0.4194444444444444,0.11666666666666659,0.02499999999999991
