DATASET,SLICE,VALUE,METHOD,N,MUSIC_EER
codec_mixed_dev_v4,CHANNEL,clean,ANCHOR,120,0.09999999999999999
codec_mixed_dev_v4,CHANNEL,clean,EXPERT,120,0.09999999999999999
codec_mixed_dev_v4,CHANNEL,clean,FUSED,120,0.06666666666666665
codec_mixed_dev_v4,CHANNEL,g711_ulaw,ANCHOR,120,0.25
codec_mixed_dev_v4,CHANNEL,g711_ulaw,EXPERT,120,0.2333333333333333
codec_mixed_dev_v4,CHANNEL,g711_ulaw,FUSED,120,0.19999999999999998
codec_mixed_dev_v4,CHANNEL,g722_wb,ANCHOR,120,0.09999999999999999
codec_mixed_dev_v4,CHANNEL,g722_wb,EXPERT,120,0.08333333333333334
codec_mixed_dev_v4,CHANNEL,g722_wb,FUSED,120,0.09999999999999999
codec_mixed_dev_v4,CHANNEL,opus_nb_8k,ANCHOR,120,0.35
codec_mixed_dev_v4,CHANNEL,opus_nb_8k,EXPERT,120,0.30000000000000004
codec_mixed_dev_v4,CHANNEL,opus_nb_8k,FUSED,120,0.2833333333333333
codec_mixed_dev_v4,CHANNEL,transcode_g711_opus,ANCHOR,120,0.41666666666666663
codec_mixed_dev_v4,CHANNEL,transcode_g711_opus,EXPERT,120,0.30000000000000004
codec_mixed_dev_v4,CHANNEL,transcode_g711_opus,FUSED,120,0.2833333333333333
codec_mixed_dev_v4,MIX_MODE,concurrent,ANCHOR,200,0.25
codec_mixed_dev_v4,MIX_MODE,concurrent,EXPERT,200,0.21999999999999997
codec_mixed_dev_v4,MIX_MODE,concurrent,FUSED,200,0.20999999999999996
codec_mixed_dev_v4,MIX_MODE,partial_overlap,ANCHOR,200,0.36
codec_mixed_dev_v4,MIX_MODE,partial_overlap,EXPERT,200,0.26
codec_mixed_dev_v4,MIX_MODE,partial_overlap,FUSED,200,0.24
codec_mixed_dev_v4,MIX_MODE,sequential,ANCHOR,200,0.20999999999999996
codec_mixed_dev_v4,MIX_MODE,sequential,EXPERT,200,0.19999999999999998
codec_mixed_dev_v4,MIX_MODE,sequential,FUSED,200,0.15000000000000002
codec_mixed_dev_v4,VOICE_FAKE,0,ANCHOR,300,0.2333333333333333
codec_mixed_dev_v4,VOICE_FAKE,0,EXPERT,300,0.17333333333333334
codec_mixed_dev_v4,VOICE_FAKE,0,FUSED,300,0.16000000000000003
codec_mixed_dev_v4,VOICE_FAKE,1,ANCHOR,300,0.30666666666666664
codec_mixed_dev_v4,VOICE_FAKE,1,EXPERT,300,0.26
codec_mixed_dev_v4,VOICE_FAKE,1,FUSED,300,0.21999999999999997
codec_mixed_blind_v5,CHANNEL,clean,ANCHOR,48,0.16666666666666663
codec_mixed_blind_v5,CHANNEL,clean,EXPERT,48,0.125
codec_mixed_blind_v5,CHANNEL,clean,FUSED,48,0.08333333333333334
codec_mixed_blind_v5,CHANNEL,g711_ulaw,ANCHOR,48,0.20833333333333337
codec_mixed_blind_v5,CHANNEL,g711_ulaw,EXPERT,48,0.41666666666666663
codec_mixed_blind_v5,CHANNEL,g711_ulaw,FUSED,48,0.16666666666666663
codec_mixed_blind_v5,CHANNEL,g722_wb,ANCHOR,48,0.16666666666666663
codec_mixed_blind_v5,CHANNEL,g722_wb,EXPERT,48,0.08333333333333334
codec_mixed_blind_v5,CHANNEL,g722_wb,FUSED,48,0.08333333333333334
codec_mixed_blind_v5,CHANNEL,opus_nb_8k,ANCHOR,48,0.20833333333333337
codec_mixed_blind_v5,CHANNEL,opus_nb_8k,EXPERT,48,0.41666666666666663
codec_mixed_blind_v5,CHANNEL,opus_nb_8k,FUSED,48,0.33333333333333337
codec_mixed_blind_v5,CHANNEL,transcode_g711_opus,ANCHOR,48,0.16666666666666663
codec_mixed_blind_v5,CHANNEL,transcode_g711_opus,EXPERT,48,0.41666666666666663
