CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
clean,48,48,0.09722222222222224,48,0.041666666666666644,48,0.16666666666666663,,,0.8930555555555556,,False,
g711_ulaw,48,48,0.2638888888888889,48,0.08333333333333334,48,0.20833333333333337,,,0.788888888888889,,False,
g722_wb,48,48,0.08333333333333334,48,0.0,48,0.16666666666666663,,,0.9083333333333333,,False,
opus_nb_8k,48,48,0.33333333333333337,48,0.29166666666666663,48,0.20833333333333337,,,0.7124999999999999,,False,
transcode_g711_opus,48,48,0.33333333333333337,48,0.33333333333333337,48,0.16666666666666663,,,0.7166666666666667,,False,
