EPOCH,LOSS,SELECTION,MEAN_VOICE_EER,WORST_VOICE_EER,WORST_GENERATOR_EER
0,0.8062587789126805,0.656915910255211,0.324264880952381,0.4,0.4285714285714286
2,0.430173516699246,0.6947401385062935,0.2767261904761905,0.37142857142857144,0.40523809523809523
4,0.3535316927092416,0.707044698140028,0.2624970238095238,0.37142857142857144,0.38190476190476186
6,0.308090563757079,0.7149104692643342,0.24973809523809526,0.36571428571428577,0.39481727574750836
8,0.2823412639754159,0.7068529088907456,0.2511160714285714,0.39428571428571424,0.4178737541528239
10,0.25854647223438537,0.7161751825186503,0.2460892857142857,0.3771428571428571,0.39481727574750836
12,0.24317887169974192,0.7078604787863814,0.24484523809523803,0.39428571428571424,0.44093023255813957
14,0.22741745156901225,0.7232858250349031,0.23497321428571424,0.3828571428571429,0.39481727574750836
16,0.21492271295615606,0.7205680205034881,0.24198511904761905,0.3771428571428571,0.3976744186046512
18,0.20480081907340458,0.7277194965442275,0.22572619047619047,0.37142857142857144,0.415016611295681
20,0.19638964916978563,0.7271186945235718,0.22793452380952384,0.37142857142857144,0.4023809523809524
22,0.18100186990840095,0.7236807527250917,0.23675892857142852,0.36571428571428577,0.4178737541528239
24,0.17859118900128773,0.7309697468232148,0.23249107142857145,0.3542857142857143,0.4
26,0.16705652156046458,0.7279212159148549,0.22988690476190476,0.3542857142857143,0.4178737541528239
28,0.1606916199837412,0.7247626967684826,0.2288720238095238,0.37142857142857144,0.4178737541528239
30,0.15534761335168565,0.7235082140501956,0.22922619047619047,0.37142857142857144,0.4178737541528239
32,0.15072831511497498,0.722210165744797,0.2305654761904762,0.38857142857142857,0.40053156146179403
34,0.1400977877633912,0.7265307425133788,0.23480059523809524,0.36571428571428577,0.39481727574750836
36,0.13731309143560275,0.7262986698670673,0.23061309523809523,0.36571428571428577,0.4
38,0.13564274715525762,0.7186556728209552,0.23191369047619048,0.37142857142857144,0.45
40,0.1282265655696392,0.7180420643762676,0.23668154761904764,0.3828571428571429,0.4178737541528239
