axis,group,rows,VOICE_EER
DATASET,asvspoof_voice_wav_dev_v1,176,0.153359173126615
DATASET,codec_mixed_dev_v4,600,0.24
DATASET,external_mixed_v1,400,0.19499999999999998
DATASET,external_mixed_v1_telephone_v1,400,0.19999999999999998
DATASET,factorial_eval_1200_v2,350,0.3314285714285714
DATASET,mixfake_music_dev_v1,1600,0.10124999999999998
DATASET,multigen_voice_v2,90,0.2333333333333333
DATASET,source_disjoint_mixed_v1,200,0.19999999999999998
DATASET,source_disjoint_mixed_v1_telephone_v1,200,0.19999999999999998
CHANNEL_V57,clean,120,0.19999999999999998
CHANNEL_V57,clean_flac,58,0.31034482758620685
CHANNEL_V57,flac16k,600,0.19666666666666666
CHANNEL_V57,g711_ulaw,120,0.21666666666666667
CHANNEL_V57,g722_wb,120,0.19999999999999998
CHANNEL_V57,mp3_64k,58,0.4137931034482759
CHANNEL_V57,noisy_flac,58,0.24137931034482762
CHANNEL_V57,ogg_48k,59,0.339080459770115
CHANNEL_V57,opus_nb_8k,120,0.2833333333333333
CHANNEL_V57,stereo_wav,59,0.3390804597701149
CHANNEL_V57,telephone8k,600,0.20333333333333337
CHANNEL_V57,telephone_flac,58,0.31034482758620685
CHANNEL_V57,transcode_g711_opus,120,0.2666666666666667
CHANNEL_V57,unknown,90,0.2333333333333333
CHANNEL_V57,wav,176,0.153359173126615
CHANNEL_V57,wav16k,1600,0.10124999999999998
LAYOUT_V57,concurrent,1900,0.13157894736842102
LAYOUT_V57,partial_overlap,300,0.28
LAYOUT_V57,sequential,900,0.2088888888888889
LAYOUT_V57,simultaneous,600,0.22999999999999998
LAYOUT_V57,speech_only,266,0.22551369863013698
LAYOUT_V57,voice_only,50,0.16000000000000003
VOICE_BACKGROUND_LABEL_UNVERIFIED,False,3091,0.16174166578033453
VOICE_BACKGROUND_LABEL_UNVERIFIED,True,925,
