EPOCH,LOSS,SELECTION,POOLED_DEVELOPMENT_ADS,MEAN_NORMALIZED_DOMAIN_ADS,WORST_NORMALIZED_DOMAIN_ADS,LOSS_VOICE,LOSS_MUSIC,LOSS_FILE,LOSS_RESIDUAL,LOSS_RANK_VOICE,LOSS_RANK_MUSIC,LOSS_RANK_FILE,LOSS_RANKING,LOSS_QUARTET_INVARIANCE,LOSS_QUARTET_LATENT_INVARIANCE,LOSS_AUC_RANKING,LOSS_LOGIT_CONSISTENCY,LOSS_LATENT_CONSISTENCY,LOSS_GROUP_DRO
0,,0.8036484876507457,0.8256025759508419,0.8441665764790767,0.7192222222222222,,,,,,,,,,,,,,
2,0.650124121381312,0.8042576676426502,0.8271926163375813,0.8439787712287713,0.7186666666666667,0.6160124027531366,0.1649037709611715,0.2298193560647113,0.3624349732940294,0.42793460979069375,0.036870257641492904,0.18130137943377606,0.18729869147040407,0.634057245844481,4.33206764289311,0.20260534349505846,0.826747414903069,4.215968006423542,1.1640233427134095
4,0.6608041619920001,0.8043626722145787,0.8271095574383704,0.8440093517593517,0.7192222222222222,0.6160261632912621,0.16968889756850442,0.22940664194828395,0.39998663570351745,0.43097579503926087,0.03896353360709772,0.1837854202342581,0.18977693160425643,0.6225745252580667,4.505642307352047,0.19772135068149288,0.8463140474442317,4.425232788433834,1.1933567104290943
6,0.7239360495337418,0.8048183134449097,0.8262266826673752,0.8441532217782218,0.7226666666666667,0.601216106960664,0.17006784361996213,0.22323233288313662,0.3669436630241725,0.42043958377207113,0.037298971364198595,0.1784699764482829,0.18451259800289965,0.6520082884449132,14.051231929234095,0.19925228948229734,0.8501125763417506,11.720755791785766,1.178138762332347
8,0.6130943290756555,0.7935678085577065,0.8173442348865307,0.8349160977910977,0.7046666666666667,0.5874790570511466,0.1704363511074287,0.21757898790614902,0.4920658752056782,0.4496709037448917,0.03915090401806222,0.19490853142533593,0.19913371970862834,0.6464086105198654,3.2700057603020705,0.19551218988293304,0.8458357721036324,2.670913942745927,1.0868563658863533
10,0.5917223303675955,0.8046822298840386,0.8214281183317358,0.8488726828726828,0.727,0.5329049118147552,0.17301387337934576,0.20429623305190914,0.6195463193130251,0.35758039261434826,0.03885735184932957,0.17064937140612504,0.16849797203871433,0.6377163642007886,5.5782340391901615,0.17462606074966244,0.8675629359316887,3.5141466140140407,1.0293305866211728
12,0.672565125537162,0.8063071848186765,0.8263016164183496,0.8476255064380064,0.725,0.5073542563738872,0.1716510526911945,0.19234885228797793,0.7237632314921641,0.35195166871844963,0.0384699601349801,0.16728852695918509,0.16557558698636687,0.6487427469799105,17.508757098596924,0.15570593139688885,0.8540505886990197,13.903839375291552,0.9754009396598047
14,0.6375961518105195,0.8023412011659039,0.8219124743431296,0.845539855977356,0.72,0.48437143892658,0.17087577194051476,0.17932066344180886,0.7869627519833798,0.33256424182303707,0.03674626702262203,0.1597466044061418,0.15741003266231593,0.6402935448045634,14.044547978712588,0.14025745751355223,0.8597854108226543,12.388902088817286,0.9370724968041997
16,0.6020792066747602,0.8042825236426914,0.8249346394987249,0.8479274822399823,0.7193333333333333,0.4819598847445641,0.17011519794473212,0.17593352518425948,0.8468809376539468,0.3125843707728022,0.035912103151177405,0.15578016147737891,0.15118058731556697,0.6610481368979728,21.917812505144504,0.13836779213408554,0.8729614828530765,8.943845541422604,0.9385345803796487
18,1.7757746399813936,0.8058089476761793,0.82491079689526,0.8500808635808637,0.7233333333333333,0.5083073291538932,0.17411548608283656,0.21081613550204356,0.6329425139584918,0.345929734115003,0.03893977908403364,0.18160778125771737,0.17167177260794106,0.641996827175599,250.09658091304865,0.1612081563256624,0.8358566929365843,121.93715112506585,1.0467964658376219
20,3.2237278694400984,0.806754777629055,0.8283496457232005,0.849319819069819,0.721,0.5588843717182778,0.17234316639298078,0.21248264840747022,0.554820462225043,0.3646222303473502,0.03939550773815872,0.17104096454969128,0.17026358209804296,0.6552337626071305,310.6476019255969,0.18145622408530693,0.8678201116165336,263.23108996177206,1.1601824065936464
22,2.3087854160338033,0.8118119425788833,0.8311025106988923,0.8500427489177489,0.735,0.5154406548078571,0.17200994822291696,0.1963810840507551,0.6287537084854379,0.35752406731552006,0.03690511522914416,0.16485683437512846,0.1650047668693017,0.668043553563101,213.9579285018298,0.15907224978567386,0.8571545020962248,176.36055372199235,1.0222887727526986
24,1.7011554156247592,0.8117251142053367,0.8343906282885734,0.8471192002442002,0.731,0.5101874773663115,0.16622288729853302,0.18159158229259134,0.7521187256614064,0.36783901327135604,0.03482040232189625,0.1658328428684376,0.1669303462496999,0.6788201395033576,125.81014981645967,0.1449651345752805,0.8451427786253184,118.6747301601575,0.9160946248331446
26,1.122684016215558,0.8063521666551863,0.8266692850253243,0.8454034299034299,0.7266666666666667,0.49582839665972456,0.16692357088382148,0.17079508316950226,0.8573634185048998,0.3407528174527902,0.03728201714396591,0.157247625405387,0.15795898293525132,0.6788876693676777,65.05056214819149,0.1452018155108149,0.88742796042744,61.384192408347616,0.9118353142117968
