STRATEGY,MEAN_EER,WORST_EER,MAX_REGRESSION_VS_FIXED,MEAN_DELTA_VS_FIXED,SELECTION
confidence_soft_router,0.16383928571428572,0.33999999999999997,0.0,-0.0007500000000000035,0.7480803571428571
fixed_soft_moe_025,0.16458928571428572,0.33999999999999997,0.0,0.0,0.7477053571428571
phone_soft_router_025_040,0.16508928571428572,0.32999999999999996,0.019999999999999962,0.0004999999999999949,0.7524553571428572
hierarchical_only,0.1772619047619048,0.36,0.03999999999999995,0.012672619047619052,0.7313690476190476
confidence_hard_expert,0.1686369047619048,0.31000000000000005,0.04999999999999996,0.004047619047619059,0.7606815476190476
phone_hard_expert,0.17526190476190479,0.31000000000000005,0.05999999999999997,0.010672619047619061,0.7573690476190476
segmental_only,0.17533333333333334,0.31000000000000005,0.05999999999999997,0.010744047619047629,0.7573333333333333
