EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS,MEAN_FILE_EER,MEAN_MUSIC_EER
0,0.2812009061940692,0.8015731292517008,0.6651011904761904,0.60275,0.33988095238095234,0.1397108843537415
2,0.07295771918231339,0.7705399659863945,0.6839601972101971,0.615038961038961,0.2840869408369408,0.15606292517006803
4,0.050152291074239956,0.8076232993197279,0.707022637085137,0.6438441558441558,0.26361255411255413,0.12189625850340137
6,0.040305395736394335,0.8139370748299319,0.7022244167869167,0.6476103896103896,0.26785678210678215,0.12641156462585032
8,0.036751195854352166,0.7792304421768708,0.6392851731601731,0.573,0.403254329004329,0.13868197278911565
10,0.030304198591550105,0.7881930272108844,0.7032325937950938,0.6421038961038961,0.26712337662337665,0.1378996598639456
12,0.02488379412022892,0.8000127551020408,0.7047776274651275,0.627012987012987,0.26868903318903314,0.1314030612244898
14,0.026369603589409964,0.7918324829931971,0.7076229256854255,0.6287792207792207,0.2600800865800866,0.12490646258503403
16,0.016956679182277928,0.8074829931972789,0.7113665824915825,0.6527272727272727,0.25801443001443003,0.1164625850340136
18,0.020596527943504923,0.791483843537415,0.7109227994227995,0.6218701298701299,0.2621612554112554,0.11988945578231293
