AXIS,GROUP,N,REAL_N,FAKE_N,ANCHOR_FILE_EER,CANDIDATE_FILE_EER,EER_DELTA
ALL,ALL,600,210,390,0.20989010989010992,0.20494505494505497,-0.004945054945054955
CHANNEL,clean,120,42,78,0.0924908424908425,0.07417582417582415,-0.018315018315018347
CHANNEL,g711_ulaw,120,42,78,0.16666666666666663,0.14194139194139196,-0.024725274725274665
CHANNEL,g722_wb,120,42,78,0.11721611721611723,0.11721611721611723,0.0
CHANNEL,opus_nb_8k,120,42,78,0.3086080586080586,0.2838827838827839,-0.02472527472527475
CHANNEL,transcode_g711_opus,120,42,78,0.358058608058608,0.33333333333333337,-0.024725274725274637
AUDIO_TYPE,mixed,360,90,270,0.24444444444444446,0.25555555555555554,0.011111111111111072
AUDIO_TYPE,music,120,60,60,0.2666666666666667,0.2333333333333333,-0.03333333333333341
AUDIO_TYPE,voice,120,60,60,0.08333333333333334,0.08333333333333334,0.0
MIX_MODE,concurrent,120,30,90,0.27222222222222225,0.2333333333333333,-0.038888888888888945
MIX_MODE,music_only,120,60,60,0.2666666666666667,0.2333333333333333,-0.03333333333333341
MIX_MODE,partial_overlap,120,30,90,0.2333333333333333,0.26111111111111107,0.027777777777777762
MIX_MODE,sequential,120,30,90,0.20555555555555557,0.19999999999999998,-0.005555555555555591
MIX_MODE,voice_only,120,60,60,0.08333333333333334,0.08333333333333334,0.0
PAIR,RR_vs_FR,180,90,90,0.25555555555555554,0.24444444444444446,-0.011111111111111072
PAIR,RR_vs_RF,180,90,90,0.30000000000000004,0.30000000000000004,0.0
