TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_external_mixed_v1,EER_factorial_eval_1200_v2_dev_bank,EER_source_disjoint_mixed_equal_v1,EER_source_disjoint_mixed_v1
FILE,probability,0.0,0.6296704545454546,0.0,0.35833333333333334,0.36763636363636365,0.33666666666666667,0.38
FILE,probability,0.025,0.6307121212121212,0.0,0.35,0.36763636363636365,0.33666666666666667,0.38
FILE,probability,0.05,0.6316666666666666,0.0,0.35,0.36,0.33666666666666667,0.38
FILE,probability,0.075,0.6451212121212121,0.0,0.35,0.3523636363636364,0.33666666666666667,0.36
FILE,probability,0.1,0.6610075757575757,0.0,0.33999999999999997,0.3352727272727273,0.33666666666666667,0.33999999999999997
FILE,probability,0.15,0.6665454545454546,0.0033333333333332993,0.31999999999999995,0.3276363636363636,0.33999999999999997,0.31999999999999995
FILE,probability,0.2,0.6879356060606061,-0.04945454545454542,0.29833333333333334,0.31818181818181823,0.28,0.31999999999999995
FILE,probability,0.25,0.7004924242424242,-0.05709090909090908,0.28,0.31054545454545457,0.26,0.30333333333333334
FILE,probability,0.3,0.7082992424242425,-0.07236363636363641,0.25833333333333336,0.29527272727272724,0.26333333333333336,0.30333333333333334
FILE,probability,0.4,0.7220151515151515,-0.07666666666666666,0.20999999999999996,0.27054545454545453,0.26,0.29666666666666663
FILE,probability,0.5,0.7390454545454544,-0.07666666666666666,0.18000000000000002,0.24763636363636365,0.26,0.28
FILE,logit,0.0,0.6296704545454546,0.0,0.35833333333333334,0.36763636363636365,0.33666666666666667,0.38
FILE,logit,0.025,0.6630871212121212,-0.01666666666666672,0.33166666666666667,0.3447272727272727,0.31999999999999995,0.31999999999999995
FILE,logit,0.05,0.6714204545454545,-0.022909090909090934,0.30166666666666664,0.3447272727272727,0.2833333333333333,0.31999999999999995
FILE,logit,0.075,0.6938636363636363,-0.04581818181818187,0.28,0.3218181818181818,0.26333333333333336,0.29666666666666663
FILE,logit,0.1,0.7062310606060606,-0.05527272727272725,0.26833333333333337,0.3123636363636364,0.24,0.28
