MODE,ROLE,FOLD,MUSIC_SCORE,AUTHORIZED_SELECTION,LOGO_MEAN,LOGO_WORST
local,LOGO,suno,0.7353448512837429,,,
local,LOGO,udio,0.7599078664217069,,,
local,LOGO,musicgen,0.6111111111111112,,,
local,LOGO,audioldm,0.48934656941375865,,,
local,LOGO,musicldm,0.6465555660006197,,,
local,LOGO,mubert,0.8632602621964325,,,
local,SUMMARY,authorized+LOGO,0.6125158813797502,0.6382312925170068,0.6842543710712287,0.48934656941375865
