SPLIT,DATASET,STRATEGY,FILE_EER,VOICE_EER,MUSIC_EER,ADS,DELTA_VS_JOINT
dev,mixfake_music_dev_v1,joint,0.047499999999999994,0.025000000000000012,0.051250000000000004,0.955875,0.0
dev,mixfake_music_dev_v1,hard_axis,0.047499999999999994,0.026249999999999996,0.11375000000000002,0.936875,-0.019000000000000017
dev,mixfake_music_dev_v1,soft_axis_025,0.047499999999999994,0.026249999999999996,0.05500000000000002,0.9545,-0.001375000000000015
dev,mixfake_music_dev_v1,soft_axis_050,0.047499999999999994,0.026249999999999996,0.0675,0.95075,-0.005125000000000046
dev,mixfake_music_dev_v1,soft_axis_075,0.047499999999999994,0.027499999999999983,0.08750000000000001,0.9444999999999999,-0.011375000000000135
dev,external_mixed_v1,joint,0.14,0.18000000000000002,0.16000000000000003,0.846,0.0
dev,external_mixed_v1,hard_axis,0.14,0.18000000000000002,0.18999999999999997,0.837,-0.009000000000000008
dev,external_mixed_v1,soft_axis_025,0.14,0.17500000000000002,0.16500000000000004,0.8454999999999999,-0.000500000000000056
dev,external_mixed_v1,soft_axis_050,0.14,0.17500000000000002,0.17000000000000004,0.844,-0.0020000000000000018
dev,external_mixed_v1,soft_axis_075,0.14,0.18500000000000003,0.17500000000000002,0.8404999999999999,-0.00550000000000006
dev,source_disjoint_mixed_v1,joint,0.16000000000000003,0.18999999999999997,0.06999999999999998,0.8610000000000001,0.0
dev,source_disjoint_mixed_v1,hard_axis,0.16000000000000003,0.17000000000000004,0.18000000000000002,0.832,-0.029000000000000137
dev,source_disjoint_mixed_v1,soft_axis_025,0.16000000000000003,0.18999999999999997,0.13,0.8430000000000001,-0.018000000000000016
dev,source_disjoint_mixed_v1,soft_axis_050,0.16000000000000003,0.18000000000000002,0.14,0.842,-0.019000000000000128
dev,source_disjoint_mixed_v1,soft_axis_075,0.16000000000000003,0.18000000000000002,0.16000000000000003,0.836,-0.025000000000000133
dev,source_disjoint_mixed_equal_v1,joint,0.16000000000000003,0.21999999999999997,0.08999999999999998,0.8490000000000001,0.0
dev,source_disjoint_mixed_equal_v1,hard_axis,0.16000000000000003,0.18999999999999997,0.15000000000000002,0.8370000000000001,-0.01200000000000001
dev,source_disjoint_mixed_equal_v1,soft_axis_025,0.16000000000000003,0.21999999999999997,0.10999999999999999,0.8430000000000001,-0.006000000000000005
dev,source_disjoint_mixed_equal_v1,soft_axis_050,0.16000000000000003,0.20999999999999996,0.12,0.8420000000000001,-0.007000000000000006
dev,source_disjoint_mixed_equal_v1,soft_axis_075,0.16000000000000003,0.19999999999999998,0.13,0.8410000000000001,-0.008000000000000007
dev,factorial_eval_1200_v2_dev,joint,0.24763636363636365,0.31999999999999995,0.24,0.7401818181818182,0.0
dev,factorial_eval_1200_v2_dev,hard_axis,0.24763636363636365,0.32571428571428573,0.28,0.727038961038961,-0.013142857142857123
dev,factorial_eval_1200_v2_dev,soft_axis_025,0.24763636363636365,0.3142857142857143,0.22857142857142854,0.7447532467532467,0.00457142857142856
dev,factorial_eval_1200_v2_dev,soft_axis_050,0.24763636363636365,0.29714285714285715,0.2457142857142857,0.743038961038961,0.0028571428571428914
dev,factorial_eval_1200_v2_dev,soft_axis_075,0.24763636363636365,0.3028571428571428,0.2628571428571429,0.7367532467532467,-0.0034285714285714475
dev,telephone_mixed_dev_v1,joint,0.18777777777777777,0.18666666666666665,0.18999999999999997,0.8117777777777778,0.0
dev,telephone_mixed_dev_v1,hard_axis,0.18777777777777777,0.19999999999999998,0.20999999999999996,0.8031111111111111,-0.008666666666666711
dev,telephone_mixed_dev_v1,soft_axis_025,0.18777777777777777,0.18999999999999997,0.18666666666666665,0.8121111111111111,0.0003333333333332966
dev,telephone_mixed_dev_v1,soft_axis_050,0.18777777777777777,0.19666666666666666,0.19333333333333336,0.8087777777777778,-0.0030000000000000027
dev,telephone_mixed_dev_v1,soft_axis_075,0.18777777777777777,0.19666666666666666,0.19999999999999998,0.8067777777777778,-0.0050000000000000044
locked,factorial_eval_1200_v2_holdout,joint,0.22472727272727272,0.22857142857142854,0.23428571428571432,0.7716363636363637,0.0
locked,factorial_eval_1200_v2_holdout,hard_axis,0.22472727272727272,0.27428571428571424,0.2571428571428571,0.7556363636363637,-0.016000000000000014
locked,factorial_eval_1200_v2_holdout,soft_axis_025,0.22472727272727272,0.2457142857142857,0.2457142857142857,0.7647792207792209,-0.006857142857142784
locked,factorial_eval_1200_v2_holdout,soft_axis_050,0.22472727272727272,0.24,0.2571428571428571,0.7624935064935066,-0.00914285714285712
locked,factorial_eval_1200_v2_holdout,soft_axis_075,0.22472727272727272,0.2457142857142857,0.2457142857142857,0.7647792207792209,-0.006857142857142784
locked,phone_factorial_1200_v1,joint,0.12585714285714283,0.245,0.05500000000000002,0.8715714285714286,0.0
locked,phone_factorial_1200_v1,hard_axis,0.12585714285714283,0.21999999999999997,0.07750000000000001,0.8698214285714285,-0.0017500000000000293
locked,phone_factorial_1200_v1,soft_axis_025,0.12585714285714283,0.22999999999999998,0.05500000000000002,0.8745714285714286,0.0030000000000000027
locked,phone_factorial_1200_v1,soft_axis_050,0.12585714285714283,0.21999999999999997,0.057499999999999996,0.8758214285714285,0.004249999999999976
locked,phone_factorial_1200_v1,soft_axis_075,0.12585714285714283,0.22250000000000003,0.0675,0.8723214285714285,0.0007499999999999174
locked,yue_cross_component_audit_v1,joint,0.1861413043478261,0.25,0.08064516129032259,0.8327357994389901,0.0
locked,yue_cross_component_audit_v1,hard_axis,0.1861413043478261,0.2958333333333334,0.08064516129032259,0.8235691327723235,-0.009166666666666656
locked,yue_cross_component_audit_v1,soft_axis_025,0.1861413043478261,0.26875000000000004,0.06451612903225809,0.8338245091164095,0.0010887096774193639
locked,yue_cross_component_audit_v1,soft_axis_050,0.1861413043478261,0.26875000000000004,0.048387096774193526,0.8386632187938288,0.005927419354838648
locked,yue_cross_component_audit_v1,soft_axis_075,0.1861413043478261,0.26875000000000004,0.08064516129032259,0.8289857994389901,-0.003750000000000031
