DATASET,STRATEGY,FILE_EER,VOICE_EER,MUSIC_EER,ADS,DELTA_VS_JOINT
dev,joint,0.24763636363636365,0.25142857142857145,0.26857142857142857,0.7453246753246753,0.0
dev,hard_axis,0.24763636363636365,0.2628571428571429,0.25142857142857145,0.7481818181818182,0.0028571428571428914
dev,soft_axis_025,0.24763636363636365,0.2571428571428571,0.2628571428571429,0.7458961038961038,0.0005714285714285561
dev,soft_axis_050,0.24763636363636365,0.2571428571428571,0.26857142857142857,0.7441818181818182,-0.0011428571428571122
dev,soft_axis_075,0.24763636363636365,0.2571428571428571,0.2571428571428571,0.7476103896103896,0.0022857142857143353
factorial,joint,0.22472727272727272,0.19999999999999998,0.22857142857142854,0.7790649350649351,0.0
factorial,hard_axis,0.22472727272727272,0.19999999999999998,0.2457142857142857,0.773922077922078,-0.005142857142857116
factorial,soft_axis_025,0.22472727272727272,0.19428571428571428,0.25142857142857145,0.7733506493506493,-0.005714285714285783
factorial,soft_axis_050,0.22472727272727272,0.19428571428571428,0.24,0.7767792207792208,-0.0022857142857143353
factorial,soft_axis_075,0.22472727272727272,0.1885714285714286,0.23428571428571432,0.7796363636363637,0.0005714285714285561
phone,joint,0.13242857142857145,0.135,0.10999999999999999,0.8737857142857143,0.0
phone,hard_axis,0.13242857142857145,0.135,0.14749999999999996,0.8625357142857142,-0.011250000000000093
phone,soft_axis_025,0.13242857142857145,0.13,0.135,0.8672857142857142,-0.006500000000000061
phone,soft_axis_050,0.13242857142857145,0.13,0.14,0.8657857142857143,-0.008000000000000007
phone,soft_axis_075,0.13242857142857145,0.13249999999999998,0.14749999999999996,0.8630357142857144,-0.010749999999999926
yue,joint,0.14877717391304346,0.12916666666666665,0.12903225806451613,0.8610684022907902,0.0
yue,hard_axis,0.14877717391304346,0.12916666666666665,0.14516129032258063,0.8562296926133708,-0.004838709677419395
yue,soft_axis_025,0.14877717391304346,0.12916666666666665,0.16129032258064513,0.8513909829359514,-0.00967741935483879
yue,soft_axis_050,0.14877717391304346,0.12916666666666665,0.16129032258064513,0.8513909829359514,-0.00967741935483879
yue,soft_axis_075,0.14877717391304346,0.12916666666666665,0.14516129032258063,0.8562296926133708,-0.004838709677419395
