SPLIT,STRATEGY,MIN_DELTA,MEAN_DELTA
dev,hard_axis,-0.029000000000000137,-0.015134920634920668
dev,joint,0.0,0.0
dev,soft_axis_025,-0.018000000000000016,-0.003495039682539706
dev,soft_axis_050,-0.019000000000000128,-0.0055446428571428825
dev,soft_axis_075,-0.025000000000000133,-0.009717261904761965
locked,hard_axis,-0.016000000000000014,-0.008972222222222234
locked,joint,0.0,0.0
locked,soft_axis_025,-0.006857142857142784,-0.0009228110599078058
locked,soft_axis_050,-0.00914285714285712,0.0003448540706605015
locked,soft_axis_075,-0.006857142857142784,-0.0032857142857142994
