variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
file_only,CHANNEL_V57,mp3_64k,58,29,29,0.41379310344827586,0.5172413793103449,0.3448275862068966
file_only,CHANNEL_V57,noisy_flac,58,29,29,0.31034482758620685,0.5172413793103449,0.27586206896551724
file_only,CHANNEL_V57,ogg_48k,59,29,30,0.27126436781609203,0.4827586206896552,0.1
file_only,CHANNEL_V57,opus_nb_8k,120,60,60,0.31666666666666665,0.9333333333333333,0.016666666666666666
file_only,CHANNEL_V57,stereo_wav,59,30,29,0.47471264367816096,0.4666666666666667,0.3448275862068966
file_only,CHANNEL_V57,telephone8k,600,300,300,0.18999999999999995,0.64,0.05333333333333334
file_only,CHANNEL_V57,telephone_flac,58,29,29,0.31034482758620685,0.6206896551724138,0.2413793103448276
file_only,CHANNEL_V57,transcode_g711_opus,120,60,60,0.3666666666666667,0.9333333333333333,0.03333333333333333
file_only,CHANNEL_V57,unknown,90,30,60,0.06666666666666665,0.03333333333333333,0.23333333333333334
file_only,CHANNEL_V57,wav,176,90,86,0.03410852713178297,0.36666666666666664,0.0
file_only,CHANNEL_V57,wav16k,1600,800,800,0.14999999999999997,0.5625,0.0525
file_only,LAYOUT_V57,concurrent,1900,950,950,0.20421052631578945,0.5747368421052632,0.07368421052631578
file_only,LAYOUT_V57,partial_overlap,300,150,150,0.26,0.8266666666666667,0.06666666666666667
file_only,LAYOUT_V57,sequential,900,450,450,0.15111111111111114,0.7711111111111111,0.02666666666666667
file_only,LAYOUT_V57,simultaneous,600,300,300,0.24333333333333335,0.5866666666666667,0.08666666666666667
file_only,LAYOUT_V57,speech_only,266,120,146,0.15034246575342464,0.2833333333333333,0.0958904109589041
file_only,LAYOUT_V57,voice_only,50,25,25,0.15999999999999998,0.08,0.32
dense,ALL,ALL,4016,1995,2021,0.17031941556017705,0.3273182957393484,0.10687778327560614
dense,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.18270270270270267,0.3816216216216216,0.08216216216216216
dense,VOICE_CONTEXT,pure_voice,316,145,171,0.19304295220810647,0.20689655172413793,0.19298245614035087
dense,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.16756756756756758,0.2918918918918919,0.11567567567567567
dense,COMPONENT_CASE,FF,925,0,925,,,0.08216216216216216
dense,COMPONENT_CASE,FR,925,0,925,,,0.11567567567567567
dense,COMPONENT_CASE,RF,925,925,0,,0.3816216216216216,
