METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
v47_query_only,400,400,350,350,0.23818181818181816,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7620519480519481,0.9947428571428572,0.785321038961039
source_restricted_consensus,400,400,350,350,0.23818181818181816,0.2857142857142857,0.24,0.9962285714285715,0.993257142857143,0.7517662337662337,0.9947428571428572,0.7760638961038961
