DATASET,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,COMPONENT_CASE,voice_fake__music_real,75,75,75,75,,,,,,,,
factorial,COMPONENT_CASE,voice_real,25,25,25,0,,,,,,,,
factorial,COMPONENT_CASE,voice_real__music_fake,75,75,75,75,,,,,,,,
factorial,COMPONENT_CASE,voice_real__music_real,75,75,75,75,,,,,,,,
factorial,EVAL_CELL,concurrent__voice_fake__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,concurrent__voice_fake__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,concurrent__voice_real__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,concurrent__voice_real__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,music_only__music_fake,25,25,0,25,,,,,,,,
factorial,EVAL_CELL,music_only__music_real,25,25,0,25,,,,,,,,
factorial,EVAL_CELL,partial_overlap__voice_fake__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,partial_overlap__voice_fake__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,partial_overlap__voice_real__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,partial_overlap__voice_real__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,sequential__voice_fake__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,sequential__voice_fake__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,sequential__voice_real__music_fake,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,sequential__voice_real__music_real,25,25,25,25,,,,,,,,
factorial,EVAL_CELL,voice_only__voice_fake,25,25,25,0,,,,,,,,
factorial,EVAL_CELL,voice_only__voice_real,25,25,25,0,,,,,,,,
phone,ALL,ALL,1200,1200,800,800,0.23242857142857143,0.15749999999999997,0.28500000000000003,,,0.7667857142857143,,
phone,AUDIO_TYPE,mixed,400,400,400,400,0.29000000000000004,0.21499999999999997,0.37,,,0.7010000000000001,,
phone,AUDIO_TYPE,music,400,400,0,400,0.20499999999999996,,0.20999999999999996,,,,,
phone,AUDIO_TYPE,voice,400,400,400,0,0.050000000000000024,0.05500000000000002,,,,,,
phone,SOURCE,FMA,200,200,0,200,,,,,,,,
phone,SOURCE,SONICS-suno,112,112,0,112,,,,,,,,
phone,SOURCE,SONICS-udio,88,88,0,88,,,,,,,,
phone,SOURCE,asvspoof,108,108,108,0,0.04772727272727275,0.10681818181818181,,,,,,
phone,SOURCE,synthetic_mixture,400,400,400,400,0.29000000000000004,0.21499999999999997,0.37,,,0.7010000000000001,,
phone,SOURCE,vcc2018,136,136,136,0,0.04446640316205532,0.027667984189723337,,,,,,
phone,SOURCE,vcc2020,156,156,156,0,0.057820855614973236,0.057820855614973236,,,,,,
phone,GENERATOR,-,200,200,200,0,,,,,,,,
phone,GENERATOR,HUB-D04,12,12,12,0,,,,,,,,
phone,GENERATOR,HUB-N13,12,12,12,0,,,,,,,,
phone,GENERATOR,SPO-N18,16,16,16,0,,,,,,,,
phone,GENERATOR,chirp-v3.5,112,112,0,112,,,,,,,,
phone,GENERATOR,real,200,200,0,200,,,,,,,,
phone,GENERATOR,udio-120s,88,88,0,88,,,,,,,,
phone,GENERATOR,nan,400,400,400,400,0.29000000000000004,0.21499999999999997,0.37,,,0.7010000000000001,,
phone,CODEC,common_flac16k,400,400,0,400,0.20499999999999996,,0.20999999999999996,,,,,
phone,CODEC,flac16k,400,400,400,400,0.29000000000000004,0.21499999999999997,0.37,,,0.7010000000000001,,
phone,CODEC,high_m4a,36,36,36,0,0.0,0.0,,,,,,
