DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,400,0.2457142857142857
phone_factorial_1200_v1,1200,0.15749999999999997
yue_cross_component_audit_v1,124,0.14516129032258063
suno_vocals_v1,13,
