MODEL,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
identity,4577,4577,4016,4261,0.17982798900311725,0.18152345237165154,0.14081202371431784,0.9823864080221005,0.9992870277672976,0.8315377079098158,0.9908367178946991,0.8474676089083042,0.8315377079098158
v1_strict,4577,4577,4016,4261,0.15098010107550466,0.1593627810248035,0.14879137172479578,0.9823864080221005,0.9992870277672976,0.8479999817398483,0.9908367178946991,0.8622836553553335,0.8479999817398483
v1_strict__voice_only,4577,4577,4016,4261,0.17982798900311725,0.1593627810248035,0.14081202371431784,0.9823864080221005,0.9992870277672976,0.8359698421791855,0.9908367178946991,0.8514565297507368,0.8359698421791855
v1_strict__music_only,4577,4577,4016,4261,0.17982798900311725,0.18152345237165154,0.14879137172479578,0.9823864080221005,0.9992870277672976,0.8291439035066723,0.9908367178946991,0.8453131849454751,0.8291439035066723
v1_strict__file_only,4577,4577,4016,4261,0.16075105441860016,0.18152345237165154,0.14081202371431784,0.9823864080221005,0.9992870277672976,0.8410761752020743,0.9908367178946991,0.8560522294713369,0.8410761752020743
v2_strict,4577,4577,4016,4261,0.13848883722787142,0.14990023301698086,0.14456701101336628,0.9823864080221005,0.9992870277672976,0.8574054314786581,0.9908367178946991,0.8707485601202622,0.8574054314786581
v2_strict__voice_only,4577,4577,4016,4261,0.17982798900311725,0.14990023301698086,0.14081202371431784,0.9823864080221005,0.9992870277672976,0.83786235178075,0.9908367178946991,0.8531597883921449,0.83786235178075
v2_strict__music_only,4577,4577,4016,4261,0.17982798900311725,0.18152345237165154,0.14456701101336628,0.9823864080221005,0.9992870277672976,0.8304112117201012,0.9908367178946991,0.846453762337561,0.8304112117201012
v2_strict__file_only,4577,4577,4016,4261,0.1406840608068327,0.18152345237165154,0.14081202371431784,0.9823864080221005,0.9992870277672976,0.8511096720079581,0.9908367178946991,0.8650823765966322,0.8511096720079581
