EPOCH,LOSS,SELECTION,OVERALL_SELECTION,MEAN_ADS,WORST_ADS
0,0.6500997973680496,0.7056090561224491,0.7448693908038021,0.7874530673218899,0.7022857142857143
1,0.5306901564598083,0.7749476267779839,0.7942866101316319,0.8324065535965972,0.7561666666666667
2,0.44603850549459456,0.7700692833951762,0.7859525259341756,0.8385803765436759,0.7333246753246754
3,0.3888772510290146,0.7735770330859617,0.7893654049842277,0.8446009398385852,0.7341298701298702
4,0.343076702862978,0.7741032776747062,0.7856941230200678,0.8390246096764993,0.7323636363636363
5,0.32213267430663106,0.7843066345856524,0.7982853488162355,0.8523888794506528,0.7441818181818182
6,0.3020203224122524,0.7831111336580087,0.7942807170018289,0.8502497456919695,0.7383116883116884
7,0.28476315635442734,0.7956500995284477,0.8020575773043978,0.8666086611023021,0.7375064935064934
8,0.2716721529811621,0.7943956062538652,0.8062937227602016,0.8575225104554682,0.7550649350649351
9,0.2535784518569708,0.7772340754483611,0.7883323318316051,0.8551321961307427,0.7215324675324676
10,0.24934532913565635,0.7737856079931973,0.7792662248523441,0.8471038782761167,0.7114285714285714
11,0.23680968932807445,0.7998619968820861,0.8030130986987819,0.8580261973975638,0.748
12,0.22412795151770115,0.792690634018759,0.7986878756942348,0.8623367903495085,0.735038961038961
13,0.2188345059454441,0.7947117057050093,0.8012254461663982,0.8654638793457834,0.7369870129870131
14,0.2055768091827631,0.8003794481807875,0.8086406761237794,0.8631774561436626,0.7541038961038962
15,0.2122983995527029,0.7751273577612864,0.7846431577244624,0.8546109907735999,0.7146753246753247
16,0.2033305746987462,0.8101369240878169,0.8125974579159536,0.8693767340137253,0.7558181818181818
17,0.1900790957957506,0.8045036139455782,0.8065933318337024,0.866329520810262,0.7468571428571429
